repo_full_name,issue_id,comment_id,user_login,user_id,created_at,updated_at,body,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
ydataai/ydata-profiling,3014598660,2860956641,fabclmnt,30911746,2025-05-08T00:45:55+00:00,2025-05-08T00:45:55+00:00,"Hi @lmsurpre,

Thanks for reaching out. Unfortunately, this looks like an issue with that particular Conda distribution. We're not the official maintainers of that channel, and it also appears to be outdated in terms of the available versions.

For the most up-to-date and supported releases, please use our official channel:
👉 https://anaconda.org/anaconda/ydata-profiling

Let me know if this solves your issue.",0,0,0,0,0,0,0
ydataai/ydata-profiling,3001397859,2860961840,fabclmnt,30911746,2025-05-08T00:48:35+00:00,2025-05-08T00:48:35+00:00,"Hi @oriel-github,

This behavior is expected if your dataset doesn't contain any missing values. Could you please confirm and provide more details about your data? If possible, sharing your current data profiling report would help us take a closer look.",0,0,0,0,0,0,0
