_id,repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company,repo_name
6824cd8e0ce5dcec7842e33b,academic/awesome-datascience,sakkas45,2562343,2014-07-19T17:36:26+00:00,User,Denizli,NaN,academic_awesome-datascience
6824cd8e0ce5dcec7842e33c,academic/awesome-datascience,necatikartal,5748430,2014-07-22T06:26:31+00:00,User,Dubai,Altayer Digital,academic_awesome-datascience
6824cd8e0ce5dcec7842e33d,academic/awesome-datascience,gwn,1702469,2014-07-26T10:04:40+00:00,User,NaN,NaN,academic_awesome-datascience
6824cd8e0ce5dcec7842e33e,academic/awesome-datascience,musaulker,195523,2014-07-26T10:13:59+00:00,User,NaN,NaN,academic_awesome-datascience
6824cd8e0ce5dcec7842e33f,academic/awesome-datascience,bahattincinic,1684999,2014-07-26T11:15:11+00:00,User,istanbul,@growdashtech,academic_awesome-datascience
6824cd8e0ce5dcec7842e340,academic/awesome-datascience,mahammad,5662768,2014-07-26T11:27:04+00:00,User,NaN,@iflingo,academic_awesome-datascience
6824cd8e0ce5dcec7842e341,academic/awesome-datascience,kurtulusahmet,5617209,2014-07-26T11:41:13+00:00,User,Türkiye,Turkcell,academic_awesome-datascience
6824cd8e0ce5dcec7842e342,academic/awesome-datascience,onuryurtturk,5616467,2014-07-26T11:49:18+00:00,User,Turkey ,NaN,academic_awesome-datascience
6824cd8e0ce5dcec7842e343,academic/awesome-datascience,nicolasramy,331710,2014-07-26T19:41:32+00:00,User,Paris,NaN,academic_awesome-datascience
6824cd8e0ce5dcec7842e344,academic/awesome-datascience,garethlewin,532225,2014-07-27T06:10:01+00:00,User,NaN,NaN,academic_awesome-datascience
6824cd8e0ce5dcec7842e345,academic/awesome-datascience,qs,3451040,2014-07-28T00:15:16+00:00,User,NaN,NaN,academic_awesome-datascience
6824cd8e0ce5dcec7842e346,academic/awesome-datascience,Jberlinsky,16839,2014-07-28T04:17:59+00:00,User,"New York, NY",@BarefootCoders ,academic_awesome-datascience
6824cd8e0ce5dcec7842e347,academic/awesome-datascience,jatrost,820464,2014-07-28T13:27:27+00:00,User,"Atlanta, GA","Databricks, Inc.",academic_awesome-datascience
6824cd8e0ce5dcec7842e348,academic/awesome-datascience,iryndin,627976,2014-07-28T18:29:02+00:00,User,NaN,NaN,academic_awesome-datascience
6824cd8e0ce5dcec7842e349,academic/awesome-datascience,nmurthy,96111,2014-07-29T00:49:15+00:00,User,SF,SenseHQ,academic_awesome-datascience
6824cd8e0ce5dcec7842e34a,academic/awesome-datascience,preuter,1312581,2014-07-29T02:12:29+00:00,User,Southern California,NaN,academic_awesome-datascience
6824cd8e0ce5dcec7842e34b,academic/awesome-datascience,hnq90,1875666,2014-07-29T03:22:50+00:00,User,"Hanoi, Vietnam",NaN,academic_awesome-datascience
6824cd8e0ce5dcec7842e34c,academic/awesome-datascience,phildini,710999,2014-07-29T06:37:18+00:00,User,SF Bay Area,@burb-co,academic_awesome-datascience
6824cd8e0ce5dcec7842e34d,academic/awesome-datascience,thephilipjones,998858,2014-07-29T14:57:06+00:00,User,NoVA,UPSTACK,academic_awesome-datascience
6824cd8e0ce5dcec7842e34e,academic/awesome-datascience,smithworx,932713,2014-07-29T16:30:59+00:00,User,NaN,NaN,academic_awesome-datascience
6824cd8e0ce5dcec7842e34f,academic/awesome-datascience,4aficiona2,27226,2014-07-30T01:33:03+00:00,User,Bern / Brentjong / wherever,@yokaiteam @satellites-of-love,academic_awesome-datascience
6824cd8e0ce5dcec7842e350,academic/awesome-datascience,sly01,3527813,2014-07-30T15:23:48+00:00,User,Barcelona,@Sanofi,academic_awesome-datascience
6824cd8e0ce5dcec7842e351,academic/awesome-datascience,chin7an,721599,2014-07-30T15:51:56+00:00,User,"Seattle, WA",NaN,academic_awesome-datascience
6824cd8e0ce5dcec7842e352,academic/awesome-datascience,dougvk,401660,2014-07-30T15:52:41+00:00,User,Manhattan,NaN,academic_awesome-datascience
6824cd8e0ce5dcec7842e353,academic/awesome-datascience,ryanramage,795834,2014-07-30T22:41:01+00:00,User,"Edmonton, AB, Canada",Place,academic_awesome-datascience
6824cd8e0ce5dcec7842e354,academic/awesome-datascience,idev-bz,915231,2014-07-30T23:10:47+00:00,User,Ukraine,iDev - Innovation Development,academic_awesome-datascience
6824cd8e0ce5dcec7842e355,academic/awesome-datascience,hkulekci,586318,2014-07-31T05:54:33+00:00,User,"Ankara, Ex-İstanbul, Turkey",motivolog & reformo,academic_awesome-datascience
6824cd8e0ce5dcec7842e356,academic/awesome-datascience,muraty,817164,2014-07-31T10:23:34+00:00,User,İstanbul,@putdotio ,academic_awesome-datascience
6824cd8e0ce5dcec7842e357,academic/awesome-datascience,savage69kr,54208,2014-07-31T11:54:45+00:00,User,NaN,NaN,academic_awesome-datascience
6824cd8e0ce5dcec7842e358,academic/awesome-datascience,enisozgen,5619924,2014-07-31T20:18:39+00:00,User,NaN,Amadeus,academic_awesome-datascience
6824cd8e0ce5dcec7842e359,academic/awesome-datascience,hamdikavak,1854194,2014-07-31T20:49:16+00:00,User,"Virginia, USA",George Mason University,academic_awesome-datascience
6824cd8e0ce5dcec7842e35a,academic/awesome-datascience,benqian,1421987,2014-08-01T00:27:42+00:00,User,Los Angeles CA,Better,academic_awesome-datascience
6824cd8e0ce5dcec7842e35b,academic/awesome-datascience,checkcheckzz,5798774,2014-08-01T01:27:54+00:00,User,"San Diego, California",NaN,academic_awesome-datascience
