repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
bharathgs/Awesome-pytorch-list,1091234119,120,Added ChemicalX,"ChemicalX is a deep learning library for:

- Polypharmacy Side Effect prediction
- Drug-Drug Interaction Identification
- Synergy Scoring

https://github.com/AstraZeneca/chemicalx",benedekrozemberczki,17380887,closed,False,0,2021-12-30T17:51:48+00:00,2022-03-23T18:35:11+00:00,2022-03-23T18:35:11+00:00,,0,0,0,0,0,0,0
bharathgs/Awesome-pytorch-list,1078023043,119,Add Captum to Pytorch & related libraries,"Captum is one of the official PyTorch libraries, so I placed it under the link for the main PyTorch library. Let me know if I need to change anything!",ProGamerGov,10626398,closed,False,1,2021-12-13T02:50:58+00:00,2022-09-19T05:24:10+00:00,2022-09-19T05:24:10+00:00,,0,0,0,0,0,0,0
bharathgs/Awesome-pytorch-list,873816231,118,Add few in-depth tutorials,"add in-depth tutorials for image captioning, sequence labeling and object detection.",priyavrat-misra,73816335,closed,False,0,2021-05-02T02:02:55+00:00,2021-05-15T03:37:40+00:00,2021-05-15T03:31:19+00:00,,0,0,0,0,0,0,0
bharathgs/Awesome-pytorch-list,839113181,117,Add Backprop,Add Backprop library to NLP section.,ojasaar,73708394,closed,False,0,2021-03-23T20:53:08+00:00,2021-03-24T03:50:36+00:00,2021-03-24T03:50:36+00:00,,0,0,0,0,0,0,0
bharathgs/Awesome-pytorch-list,834316042,116,An easy-to-use ElegantRL library,https://github.com/AI4Finance-LLC/ElegantRL,YangletLiu,26531973,closed,False,0,2021-03-18T01:53:17+00:00,2022-09-19T05:25:17+00:00,2022-09-19T05:25:17+00:00,,0,0,0,0,0,0,0
bharathgs/Awesome-pytorch-list,830299113,115,Add Distribuuu,"Distribuuuu is a Distributed Classification Training Framework powered by native PyTorch.
",BIGBALLON,7837172,closed,False,0,2021-03-12T17:02:21+00:00,2022-03-23T18:35:20+00:00,2022-03-23T18:35:20+00:00,,0,0,0,0,0,0,0
bharathgs/Awesome-pytorch-list,805015150,114,Add PyKEEN,,cthoyt,5069736,closed,False,0,2021-02-09T23:34:59+00:00,2021-02-10T17:08:10+00:00,2021-02-10T16:17:00+00:00,,0,0,0,0,0,0,0
bharathgs/Awesome-pytorch-list,804650033,113,Pathfinder Discovery Networks for Neural Message Passing,"In this work we propose Pathfinder Discovery Networks (PDNs), a method for jointly learning a message passing graph over a multiplex network with a downstream semi-supervised model. PDNs inductively learn an aggregated weight for each edge, optimized to produce the best outcome for the downstream learning task. PDNs are a generalization of attention mechanisms on graphs which allow flexible construction of similarity functions between nodes, edge convolutions, and cheap multiscale mixing layers. We show that PDNs overcome weaknesses of existing methods for graph attention (e.g. Graph Attention Networks), such as the diminishing weight problem. Our experimental results demonstrate competitive predictive performance on academic node classification tasks. Additional results from a challenging suite of node classification experiments show how PDNs can learn a wider class of functions than existing baselines. We analyze the relative computational complexity of PDNs, and show that PDN runtime is not considerably higher than static-graph models. Finally, we discuss how PDNs can be used to construct an easily interpretable attention mechanism that allows users to understand information propagation in the graph.",benedekrozemberczki,17380887,closed,False,0,2021-02-09T15:21:45+00:00,2021-02-09T15:29:31+00:00,2021-02-09T15:29:31+00:00,,0,0,0,0,0,0,0
bharathgs/Awesome-pytorch-list,790191111,112,New onnx2pytorch library,https://github.com/ToriML/onnx2pytorch,Talmaj,5983634,closed,False,0,2021-01-20T17:49:57+00:00,2022-09-19T05:25:25+00:00,2022-09-19T05:25:25+00:00,,0,0,0,0,0,0,0
bharathgs/Awesome-pytorch-list,777803856,111,Add LabML NN to tutorials list,Added https://github.com/lab-ml/nn to tutorials list.,vpj,81152,closed,False,0,2021-01-04T04:24:51+00:00,2021-01-04T11:25:12+00:00,2021-01-04T06:07:26+00:00,,0,0,0,0,0,0,0
