repo_full_name,issue_id,comment_id,user_login,user_id,created_at,updated_at,body,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
microsoft/nni,2458237314,2299309066,DiamondNova,161882594,2024-08-20T16:48:11+00:00,2024-08-20T16:48:11+00:00,I have the same issue.,0,0,0,0,0,0,0
microsoft/nni,2389523180,2232206669,sertreet,37329735,2024-07-17T02:09:07+00:00,2024-07-17T02:09:07+00:00,plus one.me too,0,0,0,0,0,0,0
