repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
academic/awesome-datascience,3027713516,489,Adding skrub package,Adding skrub,rcap107,7548232,closed,False,0,2025-04-29T09:44:48+00:00,2025-04-29T17:59:12+00:00,2025-04-29T17:59:12+00:00,,0,0,0,0,0,0,0
academic/awesome-datascience,2962925271,488,Added three useful resource,"Added the Generative AI Models, Scaler Blogs, and Applied AI Blogs URLs to the sections - Other Awesome Lists and Bloggers, respectively, providing useful insights to aspiring tech, AI / ML, and data science professionals.

Please let me know if further changes are required.

Thank you!",Paras-96,169983983,open,False,0,2025-04-01T09:54:06+00:00,2025-04-01T09:54:06+00:00,,,0,0,0,0,0,0,0
